date;payload;connector;port;fcnt;missingFcnt;rssi;esp;sf;frequency;snr;signalLevel;gatewayCnt;location;locationAccuracy;group;tags;extra;value;value.payload
"2023-07-06T12:51:36+02:00";"00c302920b34002dabcd1c";"lora";"1";"114";;"-114";"-127.21";"12";"867.1";"-13";"2";"2";"43.050957,2.892457";"10001";"/Jellyfish";;"{}";"{""payload"":""00c302920b34002dabcd1c""}";"00c302920b34002dabcd1c"
"2023-07-06T12:49:35+02:00";"00c3029205bc002db1c620";"lora";"1";"113";;"-115";"-130.86";"12";"868.1";"-15.75";"1";"1";"43.0498,2.891264";"10001";"/Jellyfish";;"{}";"{""payload"":""00c3029205bc002db1c620""}";"00c3029205bc002db1c620"
"2023-07-06T12:47:16+02:00";"00c302920b58002da88415";"lora";"1";"112";"1";"-109";"-121.27";"12";"865.5";"-12";"2";"1";"43.048626,2.890052";"10001";"/Jellyfish";;"{}";"{""payload"":""00c302920b58002da88415""}";"00c302920b58002da88415"
"2023-07-06T12:43:16+02:00";"00c302920c2c002daad00f";"lora";"1";"110";"2";"-113";"-123.41";"12";"865.9";"-10";"3";"3";"43.043694,2.886024";"10000.5";"/Jellyfish";;"{}";"{""payload"":""00c302920c2c002daad00f""}";"00c302920c2c002daad00f"
"2023-07-06T12:37:33+02:00";"00c30291f820002dbec718";"lora";"1";"107";;"-112";"-122.41";"12";"868.5";"-10";"3";"1";"43.04373,2.886614";"5001";"/Jellyfish";;"{}";"{""payload"":""00c30291f820002dbec718""}";"00c30291f820002dbec718"
"2023-07-06T12:35:32+02:00";"00c30291d950002ddc7416";"lora";"1";"106";;"-114";"-123.51";"12";"866.1";"-9";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c30291d950002ddc7416""}";"00c30291d950002ddc7416"
"2023-07-06T12:33:15+02:00";"00c30291d3ec002ddac218";"lora";"1";"105";;"-114";"-123.51";"12";"868.5";"-9";"3";"2";"43.043766,2.887215";"5001";"/Jellyfish";;"{}";"{""payload"":""00c30291d3ec002ddac218""}";"00c30291d3ec002ddac218"
"2023-07-06T12:31:16+02:00";"00c30291c744002df52e0f";"lora";"1";"104";;"-113";"-120.79";"12";"867.3";"-7";"3";"3";"43.04375,2.886929";"5001";"/Jellyfish";;"{}";"{""payload"":""00c30291c744002df52e0f""}";"00c30291c744002df52e0f"
"2023-07-06T12:29:21+02:00";"00c30291c158002dfedd15";"lora";"1";"103";;"-113";"-124.33";"12";"868.1";"-11";"2";"1";"43.04373,2.886638";"5001";"/Jellyfish";;"{}";"{""payload"":""00c30291c158002dfedd15""}";"00c30291c158002dfedd15"
"2023-07-06T12:27:16+02:00";"00c30291c17c002dfa6016";"lora";"1";"102";;"-113";"-121.64";"12";"866.1";"-8";"3";"2";"43.04371,2.886221";"5001";"/Jellyfish";;"{}";"{""payload"":""00c30291c17c002dfa6016""}";"00c30291c17c002dfa6016"
