date;payload;connector;port;fcnt;missingFcnt;rssi;esp;sf;frequency;snr;signalLevel;gatewayCnt;location;locationAccuracy;group;tags;extra;value;value.payload
"2023-07-06T12:47:19+02:00";"00c1029211e0002d99e818";"lora";"1";"122";"1";"-105";"-122.09";"12";"866.1";"-17";"1";"2";"43.048523,2.888478";"10001";"/Jellyfish";;"{}";"{""payload"":""00c1029211e0002d99e818""}";"00c1029211e0002d99e818"
"2023-07-06T12:43:15+02:00";"00c10292133c002d963a15";"lora";"1";"120";"2";"-115";"-129.17";"12";"867.3";"-14";"2";"1";"43.04432,2.887932";"10000.5";"/Jellyfish";;"{}";"{""payload"":""00c10292133c002d963a15""}";"00c10292133c002d963a15"
"2023-07-06T12:37:26+02:00";"00c20291f7e4002dc32c16";"lora";"1";"117";;"-107";"-120.21";"12";"868.1";"-13";"2";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291f7e4002dc32c16""}";"00c20291f7e4002dc32c16"
"2023-07-06T12:35:29+02:00";"00c20291d954002ddc6f18";"lora";"1";"116";;"-111";"-123.27";"12";"867.5";"-12";"2";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291d954002ddc6f18""}";"00c20291d954002ddc6f18"
"2023-07-06T12:33:15+02:00";"00c20291d2c4002dde4f11";"lora";"1";"115";;"-111";"-121.41";"12";"868.1";"-10";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291d2c4002dde4f11""}";"00c20291d2c4002dde4f11"
"2023-07-06T12:31:14+02:00";"00c20291cf9c002de76c15";"lora";"1";"114";;"-112";"-117.46";"12";"865.1";"-4";"4";"3";"43.044357,2.888522";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291cf9c002de76c15""}";"00c20291cf9c002de76c15"
"2023-07-06T12:29:22+02:00";"00c20291c128002dff9e17";"lora";"1";"113";;"-114";"-122.64";"12";"868.5";"-8";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291c128002dff9e17""}";"00c20291c128002dff9e17"
"2023-07-06T12:27:14+02:00";"00c20291c958002de9c80e";"lora";"1";"112";;"-114";"-124.41";"12";"866.1";"-10";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291c958002de9c80e""}";"00c20291c958002de9c80e"
"2023-07-06T12:25:32+02:00";"00c20291bd24002e052e15";"lora";"1";"111";;"-114";"-124.41";"12";"868.5";"-10";"3";"3";;;"/Jellyfish";;"{}";"{""payload"":""00c20291bd24002e052e15""}";"00c20291bd24002e052e15"
"2023-07-06T12:23:33+02:00";"00c20291baac002e05f217";"lora";"1";"110";;"-113";"-119.97";"12";"865.5";"-6";"4";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291baac002e05f217""}";"00c20291baac002e05f217"
"2023-07-06T12:21:14+02:00";"00c20291c418002def0216";"lora";"1";"109";;"-113";"-125.27";"12";"868.1";"-12";"2";"1";"43.04435,2.888266";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291c418002def0216""}";"00c20291c418002def0216"
"2023-07-06T12:19:28+02:00";"00c20291b740002e0a5f16";"lora";"1";"108";;"-113";"-119.97";"12";"865.9";"-6";"4";"2";"43.04437,2.888304";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291b740002e0a5f16""}";"00c20291b740002e0a5f16"
"2023-07-06T12:17:29+02:00";"00c20291b620002e0b9a17";"lora";"1";"107";;"-111";"-123.27";"12";"868.3";"-12";"2";"3";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b620002e0b9a17""}";"00c20291b620002e0b9a17"
"2023-07-06T12:15:31+02:00";"00c20291b96c002e0a7f16";"lora";"1";"106";;"-114";"-124.41";"12";"867.3";"-10";"3";"3";"43.044365,2.887863";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291b96c002e0a7f16""}";"00c20291b96c002e0a7f16"
"2023-07-06T12:13:14+02:00";"00c20291dcf4002df7c918";"lora";"1";"105";;"-113";"-120.79";"12";"868.5";"-7";"3";"3";"43.044353,2.887289";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291dcf4002df7c918""}";"00c20291dcf4002df7c918"
"2023-07-06T12:11:27+02:00";"00c20291c02c002e0a6f17";"lora";"1";"104";;"-114";"-127.21";"12";"867.1";"-13";"2";"4";"43.04435,2.886836";"5001.5";"/Jellyfish";;"{}";"{""payload"":""00c20291c02c002e0a6f17""}";"00c20291c02c002e0a6f17"
"2023-07-06T12:09:22+02:00";"00c10291b9e8002e0ed214";"lora";"1";"103";;"-114";"-124.41";"12";"868.5";"-10";"3";"3";;;"/Jellyfish";;"{}";"{""payload"":""00c10291b9e8002e0ed214""}";"00c10291b9e8002e0ed214"
"2023-07-06T12:07:27+02:00";"00c20291b3b4002e169516";"lora";"1";"102";;"-113";"-119.97";"12";"867.7";"-6";"4";"2";"43.04439,2.887099";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b3b4002e169516""}";"00c20291b3b4002e169516"
"2023-07-06T12:05:24+02:00";"00c20291b4b0002e18aa16";"lora";"1";"101";;"-113";"-120.79";"12";"868.1";"-7";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b4b0002e18aa16""}";"00c20291b4b0002e18aa16"
"2023-07-06T12:03:26+02:00";"00c20291b59c002e18ad18";"lora";"1";"100";;"-113";"-124.33";"12";"866.7";"-11";"2";"3";"43.04451,2.888629";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b59c002e18ad18""}";"00c20291b59c002e18ad18"
"2023-07-06T12:01:23+02:00";"00c20291b850002e10f814";"lora";"1";"99";;"-111";"-131.04";"12";"868.3";"-20";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b850002e10f814""}";"00c20291b850002e10f814"
"2023-07-06T11:59:23+02:00";"00c20291b6d4002e0d0415";"lora";"1";"98";;"-113";"-119.97";"12";"865.9";"-6";"4";"3";"43.0445,2.888304";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b6d4002e0d0415""}";"00c20291b6d4002e0d0415"
"2023-07-06T11:57:22+02:00";"00c20291b6e8002e0c9516";"lora";"1";"97";;"-113";"-121.64";"12";"868.3";"-8";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b6e8002e0c9516""}";"00c20291b6e8002e0c9516"
"2023-07-06T11:55:29+02:00";"00c20291b6b8002e0daf15";"lora";"1";"96";;"-113";"-121.64";"12";"867.3";"-8";"3";"3";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b6b8002e0daf15""}";"00c20291b6b8002e0daf15"
"2023-07-06T11:53:33+02:00";"00c20291b83c002e0db317";"lora";"1";"95";;"-114";"-122.64";"12";"868.5";"-8";"3";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b83c002e0db317""}";"00c20291b83c002e0db317"
"2023-07-06T11:51:25+02:00";"00c20291b800002e0f4318";"lora";"1";"94";;"-114";"-132.07";"12";"865.9";"-18";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b800002e0f4318""}";"00c20291b800002e0f4318"
"2023-07-06T11:49:26+02:00";"00c20291b778002e0fd016";"lora";"1";"93";;"-114";"-133.05";"12";"868.1";"-19";"1";"1";"43.044525,2.888191";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b778002e0fd016""}";"00c20291b778002e0fd016"
"2023-07-06T11:47:26+02:00";"00c20291b70c002e103f17";"lora";"1";"92";;"-114";"-132.07";"12";"865.5";"-18";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b70c002e103f17""}";"00c20291b70c002e103f17"
"2023-07-06T11:45:25+02:00";"00c20291b6b0002e10bf18";"lora";"1";"91";;"-114";"-129.14";"12";"868.5";"-15";"2";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b6b0002e10bf18""}";"00c20291b6b0002e10bf18"
"2023-07-06T11:43:25+02:00";"00c20291b63c002e114618";"lora";"1";"90";;"-114";"-131.09";"12";"866.1";"-17";"1";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b63c002e114618""}";"00c20291b63c002e114618"
"2023-07-06T11:41:26+02:00";"00c20291b5ec002e11c316";"lora";"1";"89";;"-116";"-133.58";"12";"868.3";"-17.5";"1";"1";"43.04451,2.887841";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b5ec002e11c316""}";"00c20291b5ec002e11c316"
"2023-07-06T11:39:26+02:00";"00c20291b56c002e124815";"lora";"1";"88";;"-114";"-133.05";"12";"865.3";"-19";"1";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b56c002e124815""}";"00c20291b56c002e124815"
"2023-07-06T11:37:26+02:00";"00c20291b4f8002e12c016";"lora";"1";"87";;"-114";"-133.05";"12";"868.1";"-19";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b4f8002e12c016""}";"00c20291b4f8002e12c016"
"2023-07-06T11:35:26+02:00";"00c20291b478002e131d17";"lora";"1";"86";"2";"-115";"-133.07";"12";"865.1";"-18";"1";"2";"43.04458,2.888331";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b478002e131d17""}";"00c20291b478002e131d17"
"2023-07-06T11:29:26+02:00";"00c20291b2f0002e146218";"lora";"1";"83";;"-115";"-132.82";"12";"868.5";"-17.75";"1";"1";"43.044563,2.887961";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b2f0002e146218""}";"00c20291b2f0002e146218"
"2023-07-06T11:27:27+02:00";"00c20291b260002e14b317";"lora";"1";"82";;"-114";"-135.03";"12";"865.9";"-21";"1";"1";"43.044624,2.888827";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b260002e14b317""}";"00c20291b260002e14b317"
"2023-07-06T11:25:27+02:00";"00c20291b1ec002e152a18";"lora";"1";"81";;"-113";"-129.11";"12";"868.5";"-16";"1";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c20291b1ec002e152a18""}";"00c20291b1ec002e152a18"
"2023-07-06T11:23:27+02:00";"00c20291b180002e158217";"lora";"1";"80";"1";"-114";"-132.07";"12";"866.7";"-18";"1";"2";"43.044636,2.888295";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b180002e158217""}";"00c20291b180002e158217"
"2023-07-06T11:19:26+02:00";"00c20291b0d0002e165618";"lora";"1";"78";;"-114";"-132.07";"12";"865.1";"-18";"1";"1";"43.044624,2.887894";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291b0d0002e165618""}";"00c20291b0d0002e165618"
"2023-07-06T11:17:27+02:00";"00c20291b080002e16ce15";"lora";"1";"77";"1";"-114";"-132.07";"12";"868.1";"-18";"1";"1";"43.04461,2.887482";"10000.5";"/Jellyfish";;"{}";"{""payload"":""00c20291b080002e16ce15""}";"00c20291b080002e16ce15"
"2023-07-06T11:13:27+02:00";"00c20291afd8002e17af16";"lora";"1";"75";;"-114";"-134.04";"12";"868.5";"-20";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291afd8002e17af16""}";"00c20291afd8002e17af16"
"2023-07-06T11:11:27+02:00";"00c20291af70002e182718";"lora";"1";"74";;"-114";"-129.14";"12";"866.7";"-15";"2";"2";"43.044598,2.887059";"5001";"/Jellyfish";;"{}";"{""payload"":""00c20291af70002e182718""}";"00c20291af70002e182718"
"2023-07-06T11:09:27+02:00";"00c20291af14002e188316";"lora";"1";"73";;"-113";"-131.07";"12";"868.3";"-18";"1";"1";"43.044582,2.886623";"5001.5";"/Jellyfish";;"{}";"{""payload"":""00c20291af14002e188316""}";"00c20291af14002e188316"
"2023-07-06T11:07:28+02:00";"00c20291aeac002e18c916";"lora";"1";"72";;"-114";"-132.07";"12";"865.5";"-18";"1";"2";"43.044666,2.887145";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291aeac002e18c916""}";"00c20291aeac002e18c916"
"2023-07-06T11:05:27+02:00";"00c20291ae50002e190718";"lora";"1";"71";;"-114";"-133.05";"12";"868.5";"-19";"1";"2";"43.044792,2.888235";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291ae50002e190718""}";"00c20291ae50002e190718"
"2023-07-06T11:03:28+02:00";"00c20291ade0002e195617";"lora";"1";"70";"1";"-114";"-131.09";"12";"867.5";"-17";"1";"1";"43.044777,2.887755";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291ade0002e195617""}";"00c20291ade0002e195617"
"2023-07-06T10:59:28+02:00";"00c20291ace0002e19ed16";"lora";"1";"68";"1";"-114";"-130.11";"12";"866.7";"-16";"1";"2";"43.044872,2.888205";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291ace0002e19ed16""}";"00c20291ace0002e19ed16"
"2023-07-06T10:55:32+02:00";"00c20291abe8002e1a7718";"lora";"1";"66";;"-111";"-129.07";"12";"866.3";"-18";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291abe8002e1a7718""}";"00c20291abe8002e1a7718"
"2023-07-06T10:53:33+02:00";"00c20291ab58002e1ac216";"lora";"1";"65";;"-114";"-129.14";"12";"868.1";"-15";"2";"2";"43.04486,2.887682";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291ab58002e1ac216""}";"00c20291ab58002e1ac216"
"2023-07-06T10:51:32+02:00";"00c20291aad8002e1b1118";"lora";"1";"64";;"-114";"-128.17";"12";"867.1";"-14";"2";"2";"43.044903,2.886994";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291aad8002e1b1118""}";"00c20291aad8002e1b1118"
"2023-07-06T10:49:32+02:00";"00c20291aa34002e1b5118";"lora";"1";"63";;"-111";"-130.05";"12";"868.1";"-19";"1";"1";"43.04489,2.886398";"10001";"/Jellyfish";;"{}";"{""payload"":""00c20291aa34002e1b5118""}";"00c20291aa34002e1b5118"
"2023-07-06T10:47:34+02:00";"00c20291a9ac002e1b832a";"lora";"1";"62";"1";"-114";"-129.14";"12";"867.9";"-15";"2";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291a9ac002e1b832a""}";"00c20291a9ac002e1b832a"
"2023-07-06T10:43:33+02:00";"00c20291a8ac002e1c2b18";"lora";"1";"60";;"-114";"-130.11";"12";"867.1";"-16";"1";"2";"43.044876,2.885779";"10000.5";"/Jellyfish";;"{}";"{""payload"":""00c20291a8ac002e1c2b18""}";"00c20291a8ac002e1c2b18"
"2023-07-06T10:41:19+02:00";"00c20291a810002e1c8516";"lora";"1";"59";;"-113";"-134.03";"12";"868.3";"-21";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c20291a810002e1c8516""}";"00c20291a810002e1c8516"
