date;payload;connector;port;fcnt;missingFcnt;rssi;esp;sf;frequency;snr;signalLevel;gatewayCnt;location;locationAccuracy;group;tags;extra;value;value.payload
"2023-07-06T12:50:35+02:00";"00c102921008002dae6e2f";"lora";"1";"124";"1";"-115";"-134.05";"12";"867.7";"-19";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c102921008002dae6e2f""}";"00c102921008002dae6e2f"
"2023-07-06T12:46:34+02:00";"00c102920a48002db04317";"lora";"1";"122";;"-114";"-129.14";"12";"867.7";"-15";"2";"4";"43.04945,2.888099";"5001";"/Jellyfish";;"{}";"{""payload"":""00c102920a48002db04317""}";"00c102920a48002db04317"
"2023-07-06T12:44:34+02:00";"00c1029209f0002db11018";"lora";"1";"121";"4";"-112";"-133.03";"12";"868.1";"-21";"1";"1";"43.044376,2.887454";"5001.5";"/Jellyfish";;"{}";"{""payload"":""00c1029209f0002db11018""}";"00c1029209f0002db11018"
"2023-07-06T12:34:25+02:00";"00c10291cb3c002def9b15";"lora";"1";"116";;"-112";"-129.09";"12";"866.5";"-17";"1";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c10291cb3c002def9b15""}";"00c10291cb3c002def9b15"
"2023-07-06T12:32:23+02:00";"00c10291c630002dfa2e17";"lora";"1";"115";;"-112";"-127.14";"12";"868.3";"-15";"2";"2";"43.04443,2.887855";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10291c630002dfa2e17""}";"00c10291c630002dfa2e17"
"2023-07-06T12:30:27+02:00";"00c10291c28c002e008718";"lora";"1";"114";"1";"-114";"-126.27";"12";"865.9";"-12";"2";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c10291c28c002e008718""}";"00c10291c28c002e008718"
"2023-07-06T12:26:34+02:00";"00c10291be9c002e035518";"lora";"1";"112";;"-112";"-127.14";"12";"866.5";"-15";"2";"2";"43.044422,2.887301";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10291be9c002e035518""}";"00c10291be9c002e035518"
"2023-07-06T12:24:15+02:00";"00c10291c44c002df5d40d";"lora";"1";"111";;"-104";"-123.05";"12";"868.3";"-19";"1";"1";"43.04441,2.886962";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10291c44c002df5d40d""}";"00c10291c44c002df5d40d"
"2023-07-06T12:22:30+02:00";"00c10291b9bc002e071515";"lora";"1";"110";;"-114";"-126.27";"12";"867.7";"-12";"2";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c10291b9bc002e071515""}";"00c10291b9bc002e071515"
"2023-07-06T12:20:15+02:00";"00c10291c204002dfb6a14";"lora";"1";"109";;"-114";"-121.58";"12";"868.1";"-6.75";"3";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c10291c204002dfb6a14""}";"00c10291c204002dfb6a14"
