date;payload;connector;port;fcnt;missingFcnt;rssi;esp;sf;frequency;snr;signalLevel;gatewayCnt;location;locationAccuracy;group;tags;extra;value;value.payload
"2023-07-10T13:14:35+02:00";"00c00299c1e8003afe2109";"lora";"1";"129";;"-116";"-125.51";"12";"865.3";"-9";"3";"4";;;"/Jellyfish";;"{}";"{""payload"":""00c00299c1e8003afe2109""}";"00c00299c1e8003afe2109"
"2023-07-10T13:12:33+02:00";"00c10299c1e8003b014313";"lora";"1";"128";;"-115";"-124.51";"12";"868.5";"-9";"3";"2";"43.60888,3.856999";"5001";"/Jellyfish";;"{}";"{""payload"":""00c10299c1e8003b014313""}";"00c10299c1e8003b014313"
"2023-07-10T13:10:37+02:00";"00c10299c0c0003af97718";"lora";"1";"127";;"-116";"-127.33";"12";"867.7";"-11";"2";"7";"43.60723,3.85622";"5001";"/Jellyfish";;"{}";"{""payload"":""00c10299c0c0003af97718""}";"00c10299c0c0003af97718"
"2023-07-10T13:08:45+02:00";"00c10299c114003b003c17";"lora";"1";"126";;"-110";"-125.14";"12";"868.3";"-15";"2";"1";"43.60651,3.855932";"5001";"/Jellyfish";;"{}";"{""payload"":""00c10299c114003b003c17""}";"00c10299c114003b003c17"
"2023-07-10T13:06:33+02:00";"00c10299c034003afdab14";"lora";"1";"125";;"-115";"-122.79";"12";"865.9";"-7";"3";"8";"43.604034,3.853402";"5001";"/Jellyfish";;"{}";"{""payload"":""00c10299c034003afdab14""}";"00c10299c034003afdab14"
"2023-07-10T13:04:33+02:00";"00c00299b820003ae85911";"lora";"1";"124";;"-113";"-118.46";"12";"868.5";"-4";"4";"2";"43.600372,3.851102";"5001";"/Jellyfish";;"{}";"{""payload"":""00c00299b820003ae85911""}";"00c00299b820003ae85911"
"2023-07-10T13:02:40+02:00";"00c10299a328003ae92a18";"lora";"1";"123";;"-97";"-99.12";"12";"867.7";"2";"5";"2";;;"/Jellyfish";;"{}";"{""payload"":""00c10299a328003ae92a18""}";"00c10299a328003ae92a18"
"2023-07-10T13:00:34+02:00";"00c00299991c003adbde13";"lora";"1";"122";;"-113";"-116.54";"12";"868.1";"-1";"4";"3";"43.598763,3.850331";"5001.5";"/Jellyfish";;"{}";"{""payload"":""00c00299991c003adbde13""}";"00c00299991c003adbde13"
"2023-07-10T12:58:45+02:00";"00c10299923c003ab46718";"lora";"1";"121";;"-110";"-112.54";"12";"867.1";"1";"5";"3";"43.590218,3.850597";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10299923c003ab46718""}";"00c10299923c003ab46718"
"2023-07-10T12:56:46+02:00";"00c102998640003a979518";"lora";"1";"120";"1";"-118";"-137.05";"12";"868.5";"-19";"1";"2";"43.575184,3.855445";"10000.5";"/Jellyfish";;"{}";"{""payload"":""00c102998640003a979518""}";"00c102998640003a979518"
"2023-07-10T12:52:35+02:00";"00c102992e6c003ac55910";"lora";"1";"118";"1";"-118";"-133.86";"12";"868.3";"-15.75";"1";"1";"43.571423,3.852363";"5001";"/Jellyfish";;"{}";"{""payload"":""00c102992e6c003ac55910""}";"00c102992e6c003ac55910"
"2023-07-10T12:48:39+02:00";"00c00298f698003ab8a016";"lora";"1";"116";;"-107";"-108.76";"12";"868.1";"3";"5";"2";"43.57032,3.851514";"5000.5";"/Jellyfish";;"{}";"{""payload"":""00c00298f698003ab8a016""}";"00c00298f698003ab8a016"
"2023-07-10T12:46:35+02:00";"00c10298da34003abe9818";"lora";"1";"115";"1";"-113";"-116.01";"12";"867.7";;"5";"3";"43.558376,3.843735";"2";"/Jellyfish";;"{}";"{""payload"":""00c10298da34003abe9818""}";"00c10298da34003abe9818"
