date;payload;connector;port;fcnt;missingFcnt;rssi;esp;sf;frequency;snr;signalLevel;gatewayCnt;location;locationAccuracy;group;tags;extra;value;value.payload
"2023-07-10T13:26:05+02:00";"00c10299da94003a996f63";"lora";"1";"136";"4";"-117";"-138.03";"12";"865.1";"-21";"1";"1";"43.61971,3.861321";"5001";"/Jellyfish";;"{}";"{""payload"":""00c10299da94003a996f63""}";"00c10299da94003a996f63"
"2023-07-10T13:15:34+02:00";"00c10299c190003aeb8909";"lora";"1";"131";;"-113";"-125.27";"12";"868.1";"-12";"2";"1";"43.61931,3.861161";"5001.5";"/Jellyfish";;"{}";"{""payload"":""00c10299c190003aeb8909""}";"00c10299c190003aeb8909"
"2023-07-10T13:13:34+02:00";"00c10299c2e4003b00fc0c";"lora";"1";"130";"1";"-116";"-130.17";"12";"865.5";"-14";"2";"7";"43.621647,3.86032";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10299c2e4003b00fc0c""}";"00c10299c2e4003b00fc0c"
"2023-07-10T13:09:31+02:00";"00c10299c2a0003b008106";"lora";"1";"128";;"-115";"-121.97";"12";"865.3";"-6";"4";"3";"43.622845,3.859075";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10299c2a0003b008106""}";"00c10299c2a0003b008106"
"2023-07-10T13:07:35+02:00";"00c10299c220003b008607";"lora";"1";"127";"1";"-98";"-122.02";"12";"868.5";"-24";"1";"1";"43.622284,3.857972";"10001";"/Jellyfish";;"{}";"{""payload"":""00c10299c220003b008607""}";"00c10299c220003b008607"
"2023-07-10T13:03:32+02:00";"00c10299a86c003aeff609";"lora";"1";"125";;"-95";"-102.79";"12";"868.1";"-7";"3";"2";"43.621162,3.85611";"10000";"/Jellyfish";;"{}";"{""payload"":""00c10299a86c003aeff609""}";"00c10299a86c003aeff609"
"2023-07-10T13:01:33+02:00";"00c1029999e0003adea209";"lora";"1";"124";;"-114";"-120.19";"12";"867.7";"-5";"4";"1";"43.617813,3.852288";"2";"/Jellyfish";;"{}";"{""payload"":""00c1029999e0003adea209""}";"00c1029999e0003adea209"
"2023-07-10T12:59:35+02:00";"00c102999704003ac7310a";"lora";"1";"123";;"-113";"-116.01";"12";"868.5";;"5";"2";"43.624527,3.863378";"10000";"/Jellyfish";;"{}";"{""payload"":""00c102999704003ac7310a""}";"00c102999704003ac7310a"
"2023-07-10T12:57:35+02:00";"00c102998974003a9e9307";"lora";"1";"122";"1";"-117";"-135.07";"12";"865.1";"-18";"1";"1";"43.5992,3.843086";"10000";"/Jellyfish";;"{}";"{""payload"":""00c102998974003a9e9307""}";"00c102998974003a9e9307"
"2023-07-10T12:53:33+02:00";"00c102993994003ab09706";"lora";"1";"120";;"-103";"-124.03";"12";"865.5";"-21";"1";"1";;;"/Jellyfish";;"{}";"{""payload"":""00c102993994003ab09706""}";"00c102993994003ab09706"
